Common Name,Scientific Name,Count,Reporting Rate
Red-backed Kingfisher,Todiramphus pyrrhopygius,9724,0.67%
Buff-breasted Paradise-Kingfisher,Tanysiptera sylvia,1775,0.12%
Laughing Kookaburra,Dacelo novaeguineae,238738,16.36%
Blue-winged Kookaburra,Dacelo leachii,20953,1.44%
Nankeen Kestrel,Falco cenchroides,82450,5.65%
Eurasian Hobby,Falco subbuteo,4,0.00%
Australian Hobby,Falco longipennis,25534,1.75%
Brown Falcon,Falco berigora,54343,3.72%
Grey Falcon,Falco hypoleucos,557,0.04%
Black Falcon,Falco subniger,4219,0.29%
Peregrine Falcon,Falco peregrinus,13799,0.95%
Cockatiel,Nymphicus hollandicus,21216,1.45%
Red-tailed Black-Cockatoo,Calyptorhynchus banksii,29519,2.02%
Glossy Black-Cockatoo,Calyptorhynchus lathami,4835,0.33%
Yellow-tailed Black-Cockatoo,Zanda funereus,55516,3.81%
Baudin's Black-Cockatoo,Zanda baudinii,2703,0.19%
Carnaby's Black-Cockatoo,Zanda latirostris,6872,0.47%
Palm Cockatoo,Probosciger aterrimus,918,0.06%
Gang-gang Cockatoo,Callocephalon fimbriatum,14757,1.01%
Galah,Eolophus roseicapilla,305557,20.94%
Major Mitchell's Cockatoo,Cacatua leadbeateri,5663,0.39%
Long-billed Corella,Cacatua tenuirostris,30944,2.12%
Western Corella,Cacatua pastinator,2624,0.18%
Little Corella,Cacatua sanguinea,69690,4.78%
Sulphur-crested Cockatoo,Cacatua galerita,186545,12.79%
Superb Parrot,Polytelis swainsonii,4996,0.34%
Regent Parrot,Polytelis anthopeplus,4421,0.30%
Princess Parrot,Polytelis alexandrae,142,0.01%
Australian King-Parrot,Alisterus scapularis,55092,3.78%
Red-winged Parrot,Aprosmictus erythropterus,22569,1.55%
Eclectus Parrot,Eclectus roratus,516,0.04%
Red-cheeked Parrot,Geoffroyus geoffroyi,309,0.02%
Red-rumped Parrot,Psephotus haematonotus,89156,6.11%
Blue Bonnet,Northiella haematogaster,11224,0.77%
Mulga Parrot,Psephotellus varius,13283,0.91%
Hooded Parrot,Psephotellus dissimilis,402,0.03%
Golden-shouldered Parrot,Psephotellus chrysopterygius,143,0.01%
Red-capped Parrot,Purpureicephalus spurius,20506,1.41%
Green Rosella,Platycercus caledonicus,16004,1.10%
Crimson Rosella,Platycercus elegans,159657,10.94%
Northern Rosella,Platycercus venustus,1925,0.13%
Pale-headed Rosella,Platycercus adscitus,34386,2.36%
Eastern Rosella,Platycercus eximius,138577,9.50%
Western Rosella,Platycercus icterotis,7922,0.54%
Australian Ringneck,Barnardius zonarius,97817,6.70%
Swift Parrot,Lathamus discolor,4233,0.29%
Red-fronted Parakeet,Cyanoramphus novaezelandiae,35,0.00%
Ground Parrot,Pezoporus wallicus,606,0.04%
Bourke's Parrot,Neopsephotus bourkii,1791,0.12%
Blue-winged Parrot,Neophema chrysostoma,5620,0.39%
Elegant Parrot,Neophema elegans,7469,0.51%
Rock Parrot,Neophema petrophila,1203,0.08%
Orange-bellied Parrot,Neophema chrysogaster,392,0.03%
Turquoise Parrot,Neophema pulchella,2898,0.20%
Scarlet-chested Parrot,Neophema splendida,284,0.02%
Musk Lorikeet,Glossopsitta concinna,47996,3.29%
Little Lorikeet,Glossopsitta pusilla,16106,1.10%
Purple-crowned Lorikeet,Glossopsitta porphyrocephala,19463,1.33%
Varied Lorikeet,Psitteuteles versicolor,3477,0.24%
Coconut Lorikeet,Trichoglossus haematodus,3,0.00%
Rainbow Lorikeet,Trichoglossus moluccanus,240058,16.45%
Red-collared Lorikeet,Trichoglossus rubritorquis,10050,0.69%
Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus,39149,2.68%
Budgerigar,Melopsittacus undulatus,22227,1.52%
Double-eyed Fig-Parrot,Cyclopsitta diophthalma,3510,0.24%
